CI00,CI01,CI11,Q_EXP_PN_100,Q_VAL_PN_100,,Q_EXP_PN_CO00,Q_EXP_PN_CO10,Q_VAL_PN_CO00,Q_VAL_PN_CO10,Q_EXP_PN_CC00,Q_VAL_PN_CC00
,0.00468,0.00397,,,,,,,,,
,0.000301411,0.000271076,,,,,,,,,
,0.000221101,0.000200852,,,,,,,,,
,0.000170889,0.000150669,,,,,,,,,
,0.000140756,0.000130599,,,,,,,,,
,0.000140776,0.000110522,,,,,,,,,
,0.000130739,0.000110534,,,,,,,,,
,0.000140814,0.000100496,,,,,,,,,
,0.000130774,8.04052E-05,,,,,,,,,
,0.000130791,9.04632E-05,,,,,,,,,
,0.000140871,9.04714E-05,,,,,,,,,
,0.000120763,0.000110586,,,,,,,,,
,0.000150972,0.000110598,,,,,,,,,
,0.000201327,0.000120666,,,,,,,,,
,0.000271846,0.000140794,,,,,,,,,
,0.00036256,0.00016093,,,,,,,,,
,0.000493663,0.000211255,,,,,,,,,
,0.000604784,0.000221361,,,,,,,,,
,0.000706008,0.000251603,,,,,,,,,
,0.000777158,0.000251666,,,,,,,,,
,0.000818165,0.000261799,,,,,,,,,
,0.000869381,0.000251795,,,,,,,,,
,0.000900491,0.000272007,,,,,,,,,
,0.000901302,0.000262004,,,,,,,,,
,0.000932524,0.000272153,,,,,,,,,
,0.000923249,0.000272227,,,,,,,,,
,0.000903792,0.000272301,,,,,,,,,
,0.000904609,0.000292551,,,,,,,,,
,0.000895255,0.000312818,,,,,,,,,
,0.00086551,0.000312916,,,,,,,,,
,0.000886642,0.000333209,,,,,,,,,
,0.000887429,0.000353521,,,,,,,,,
,0.000918846,0.000373854,,,,,,,,,
,0.000960566,0.000404318,,,,,,,,,
,0.00103309,0.00044493,,,,,,,,,
,0.001054636,0.000485594,,,,,,,,,
,0.001107,0.000536437,,,,,,,,,
,0.001149272,0.000567106,,,,,,,,,
,0.001222506,0.000628223,,,,,,,,,
,0.001306289,0.000689452,,,,,,,,0.001516,0.001516
,0.001410989,0.000750804,,,,,,,,0.001684,0.001684
,0.001495493,0.00081229,,,,,,,,0.001828,0.001828
,0.001621683,0.000894245,,,,,,,,0.001988,0.001988
,0.001748469,0.000966243,,,,,,,,0.002152,0.002152
,0.001938085,0.001068985,,,,,,,,0.002332,0.002332
,0.00211838,0.00119243,,,,,,,,0.002531,0.002531
,0.002289377,0.001336707,,,,,,,,0.002751,0.002751
,0.002576244,0.001440672,,,,,,,,0.002993,0.002993
,0.00279204,0.001565538,,,,, 0.00361 ,,0.003612,0.003341,0.003341
,0.00305153,0.001742214,,,,, 0.00396 ,, 0.00396 ,0.003735,0.003735
,0.003355387,0.001868449,,,,, 0.00431 ,, 0.00431 ,0.004181,0.004181
,0.003736069,0.00206737,,,,, 0.00463 ,, 0.00463 ,0.00474,0.00474
,0.00412085,0.002308707,,,,,,,,0.00538,0.00538
,0.004744227,0.002572314,,,,,,,,0.005905,0.005905
,0.005044729,0.002817164,,,,,,,,0.006482,0.006482
,0.005510737,0.003095171,,,, 0.00779 ,,0.007791,,0.007117,0.007117
,0.006124565,0.003375668,,,, 0.00841 ,,0.00841,,0.007809,0.007809
,0.006977427,0.003658906,,,, 0.00907 ,,0.009074,,0.008563,0.008563
,0.00770502,0.003924161,,,, 0.01007 ,,0.010069,,0.009639,0.009639
,0.008779573,0.004318835,,,,,,,,0.010857,0.010857
,0.009524975,0.004623213,,,,,,,,0.012235,0.012235
,0.010380506,0.004857258,,,,,,,,0.013635,0.013635
,0.011306747,0.005318865,,,,,,,,0.015201,0.015201
,0.012193862,0.005680171,,,,,,,,0.016996,0.016996
,0.013460264,0.006284961,0.004385,0.003365,,,,,,0.01901,0.01901
,0.014975316,0.007128885,0.005247,0.0037345,,,,,,0.020914,0.020914
,0.016734049,0.008022854,0.005713,0.004137,,,,,,0.023203,0.023203
,0.018648954,0.008815968,0.006231,0.004586,,,,,,0.025032,0.025032
,0.020528077,0.009707009,0.006816,0.0050935,,,,,,0.027186,0.027186
,0.022907333,0.010780126,0.007474,0.005666,,,,,,0.029917,0.029917
,0.025633387,0.011943046,0.008209,0.0063075,,,,,,0.033571,0.033571
,0.028341642,0.013341001,0.009025,0.0070245,,,,,,0.038308,0.038308
,0.031521486,0.015001748,0.009932,0.007828,,,,,,0.044182,0.044182
,0.034666403,0.01693431,0.010946,0.0087345,,,,,,0.050946,0.050946
,0.038428331,0.019176136,0.012091,0.0097695,,,,,,0.058059,0.058059
,0.042688216,0.021981124,0.013408,0.0109725,,,,,,,
,0.047357879,0.025160626,0.014947,0.012396,,,,,,,
,0.052198582,0.028294479,0.016765,0.0141,,,,,,,
,0.057978414,0.032324303,0.018909,0.0161435,,,,,,,
,0.064013906,0.036799233,0.02141,0.0185735,,,,,,,
,0.069709858,0.040976733,0.024263,0.021405,,,,,,,
,0.074139263,0.045143314,0.027433,0.024627,,,,,,,
,0.080586081,0.050521512,0.030906,0.0282445,,,,,,,
,0.091406526,0.05914374,0.034722,0.0323125,,,,,,,
,0.10884467,0.072417687,0.038967,0.0369315,,,,,,,
,0.124599047,0.086107105,0.043442,0.041927,,,,,,,
